Stage,Division,Group/Bracket,Round,Match format,Team A,Team B,Winning team,Game 1 - Score team A,Game 1 - Score team B,Game 2 - Score team A,Game 2 - Score team B,Game 3 - Score team A,Game 3 - Score team B,Team A - Player 1,Team A - Player 2,Team A - Player 3,Team B - Player 1,Team B - Player 2,Team B - Player 3
Group Stage,Open Pro,Group A (set 5),1,Single game,Schnelson & Toucha,TMP Bad Counting,Schnelson & Toucha,15,10,,,,,Nelson Dziruni,Yosha Vandaele,,Michael Nägel,Tim Bichler,
Group Stage,Open Pro,Group A (set 5),1,Single game,Smile,L'Eclair,Smile,15,10,,,,,Gabriel Stoisser,Felix Millton,,joeri vlassaks,Frederik Theunis,
Group Stage,Open Pro,Group B (set 6),1,Single game,Gentle butts,Le Spiko de Familia,Gentle butts,17,15,,,,,Markus Anderle,Jaroslav Čabala,,Andreas Christensen,Kasper Søvndal,
Group Stage,Open Pro,Group B (set 6),1,Single game,Willy Wotzbold,FR...,Willy Wotzbold,15,12,,,,,Yvo Heinen,Emil Grönebaum,,Jakub Popluhar,Sebi Mezzey,
Group Stage,Open Pro,Group C (set 7),1,Single game,Swedish Pole Dancer,Lattesundmasse,Swedish Pole Dancer,15,7,,,,,Jan Stachiewicz,Esaja Ekman,,Lasse Böhm,Mattes Böhm,
Group Stage,Open Pro,Group C (set 7),1,Single game,Bazzani/Borsotti,outdoor olives,Bazzani/Borsotti,15,8,,,,,Nicola Bazzani,Andrea Borsotti,,Jarec Schouten,Aleksandrs Juška,
Group Stage,Open Pro,Group D (set 8),1,Single game,Krehle/Visek,Bang!,Krehle/Visek,15,12,,,,,Julian Krehle,Jakub Víšek,,Tim Klement,Cedric Strehllw,
Group Stage,Open Pro,Group D (set 8),1,Single game,nerds in disguise,Dudine/Sacchini,nerds in disguise,15,13,,,,,Stefan Handschmann,David Jindra,,Jacopo Dudine,Matteo Sacchini,
Group Stage,Open Pro,Group A (set 5),2,Single game,Schnelson & Toucha,L'Eclair,L'Eclair,13,15,,,,,Nelson Dziruni,Yosha Vandaele,,joeri vlassaks,Frederik Theunis,
Group Stage,Open Pro,Group A (set 5),2,Single game,Smile,TMP Bad Counting,TMP Bad Counting,13,15,,,,,Gabriel Stoisser,Felix Millton,,Michael Nägel,Tim Bichler,
Group Stage,Open Pro,Group B (set 6),2,Single game,Gentle butts,FR...,Gentle butts,15,12,,,,,Markus Anderle,Jaroslav Čabala,,Jakub Popluhar,Sebi Mezzey,
Group Stage,Open Pro,Group B (set 6),2,Single game,Willy Wotzbold,Le Spiko de Familia,Willy Wotzbold,15,10,,,,,Yvo Heinen,Emil Grönebaum,,Andreas Christensen,Kasper Søvndal,
Group Stage,Open Pro,Group C (set 7),2,Single game,Swedish Pole Dancer,outdoor olives,Swedish Pole Dancer,15,8,,,,,Jan Stachiewicz,Esaja Ekman,,Jarec Schouten,Aleksandrs Juška,
Group Stage,Open Pro,Group C (set 7),2,Single game,Bazzani/Borsotti,Lattesundmasse,Bazzani/Borsotti,15,12,,,,,Nicola Bazzani,Andrea Borsotti,,Lasse Böhm,Mattes Böhm,
Group Stage,Open Pro,Group D (set 8),2,Single game,Krehle/Visek,Dudine/Sacchini,Krehle/Visek,15,7,,,,,Julian Krehle,Jakub Víšek,,Jacopo Dudine,Matteo Sacchini,
Group Stage,Open Pro,Group D (set 8),2,Single game,nerds in disguise,Bang!,Bang!,13,15,,,,,Stefan Handschmann,David Jindra,,Tim Klement,Cedric Strehllw,
Group Stage,Open Pro,Group A (set 5),3,Single game,Schnelson & Toucha,Smile,Schnelson & Toucha,15,10,,,,,Nelson Dziruni,Yosha Vandaele,,Gabriel Stoisser,Felix Millton,
Group Stage,Open Pro,Group A (set 5),3,Single game,L'Eclair,TMP Bad Counting,L'Eclair,15,6,,,,,joeri vlassaks,Frederik Theunis,,Michael Nägel,Tim Bichler,
Group Stage,Open Pro,Group B (set 6),3,Single game,Gentle butts,Willy Wotzbold,Gentle butts,15,11,,,,,Markus Anderle,Jaroslav Čabala,,Yvo Heinen,Emil Grönebaum,
Group Stage,Open Pro,Group B (set 6),3,Single game,FR...,Le Spiko de Familia,Le Spiko de Familia,10,15,,,,,Jakub Popluhar,Sebi Mezzey,,Andreas Christensen,Kasper Søvndal,
Group Stage,Open Pro,Group C (set 7),3,Single game,Swedish Pole Dancer,Bazzani/Borsotti,Swedish Pole Dancer,15,13,,,,,Jan Stachiewicz,Esaja Ekman,,Nicola Bazzani,Andrea Borsotti,
Group Stage,Open Pro,Group C (set 7),3,Single game,outdoor olives,Lattesundmasse,Lattesundmasse,10,15,,,,,Jarec Schouten,Aleksandrs Juška,,Lasse Böhm,Mattes Böhm,
Group Stage,Open Pro,Group D (set 8),3,Single game,Krehle/Visek,nerds in disguise,Krehle/Visek,15,10,,,,,Julian Krehle,Jakub Víšek,,Stefan Handschmann,David Jindra,
Group Stage,Open Pro,Group D (set 8),3,Single game,Dudine/Sacchini,Bang!,Bang!,13,15,,,,,Jacopo Dudine,Matteo Sacchini,,Tim Klement,Cedric Strehllw,
Group Stage,Open Pro,Group A (set 5),4,Single game,Schnelson & Toucha,TMP Bad Counting,Schnelson & Toucha,15,10,,,,,Nelson Dziruni,Yosha Vandaele,,Michael Nägel,Tim Bichler,
Group Stage,Open Pro,Group A (set 5),4,Single game,Smile,L'Eclair,L'Eclair,11,15,,,,,Gabriel Stoisser,Felix Millton,,joeri vlassaks,Frederik Theunis,
Group Stage,Open Pro,Group B (set 6),4,Single game,Gentle butts,Le Spiko de Familia,Gentle butts,15,13,,,,,Markus Anderle,Jaroslav Čabala,,Andreas Christensen,Kasper Søvndal,
Group Stage,Open Pro,Group B (set 6),4,Single game,Willy Wotzbold,FR...,Willy Wotzbold,15,9,,,,,Yvo Heinen,Emil Grönebaum,,Jakub Popluhar,Sebi Mezzey,
Group Stage,Open Pro,Group C (set 7),4,Single game,Swedish Pole Dancer,Lattesundmasse,Swedish Pole Dancer,15,11,,,,,Jan Stachiewicz,Esaja Ekman,,Lasse Böhm,Mattes Böhm,
Group Stage,Open Pro,Group C (set 7),4,Single game,Bazzani/Borsotti,outdoor olives,Bazzani/Borsotti,15,8,,,,,Nicola Bazzani,Andrea Borsotti,,Jarec Schouten,Aleksandrs Juška,
Group Stage,Open Pro,Group D (set 8),4,Single game,Krehle/Visek,Bang!,Bang!,13,15,,,,,Julian Krehle,Jakub Víšek,,Tim Klement,Cedric Strehllw,
Group Stage,Open Pro,Group D (set 8),4,Single game,nerds in disguise,Dudine/Sacchini,nerds in disguise,17,15,,,,,Stefan Handschmann,David Jindra,,Jacopo Dudine,Matteo Sacchini,
Group Stage,Open Pro,Group A (set 5),5,Single game,Schnelson & Toucha,L'Eclair,Schnelson & Toucha,19,17,,,,,Nelson Dziruni,Yosha Vandaele,,joeri vlassaks,Frederik Theunis,
Group Stage,Open Pro,Group A (set 5),5,Single game,Smile,TMP Bad Counting,Smile,15,13,,,,,Gabriel Stoisser,Felix Millton,,Michael Nägel,Tim Bichler,
Group Stage,Open Pro,Group B (set 6),5,Single game,Gentle butts,FR...,Gentle butts,15,13,,,,,Markus Anderle,Jaroslav Čabala,,Jakub Popluhar,Sebi Mezzey,
Group Stage,Open Pro,Group B (set 6),5,Single game,Willy Wotzbold,Le Spiko de Familia,Le Spiko de Familia,19,21,,,,,Yvo Heinen,Emil Grönebaum,,Andreas Christensen,Kasper Søvndal,
Group Stage,Open Pro,Group C (set 7),5,Single game,Swedish Pole Dancer,outdoor olives,Swedish Pole Dancer,15,9,,,,,Jan Stachiewicz,Esaja Ekman,,Jarec Schouten,Aleksandrs Juška,
Group Stage,Open Pro,Group C (set 7),5,Single game,Bazzani/Borsotti,Lattesundmasse,Lattesundmasse,8,15,,,,,Nicola Bazzani,Andrea Borsotti,,Lasse Böhm,Mattes Böhm,
Group Stage,Open Pro,Group D (set 8),5,Single game,Krehle/Visek,Dudine/Sacchini,Dudine/Sacchini,11,15,,,,,Julian Krehle,Jakub Víšek,,Jacopo Dudine,Matteo Sacchini,
Group Stage,Open Pro,Group D (set 8),5,Single game,nerds in disguise,Bang!,Bang!,6,15,,,,,Stefan Handschmann,David Jindra,,Tim Klement,Cedric Strehllw,
