Stage,Division,Group/Bracket,Round,Match format,Team A,Team B,Winning team,Game 1 - Score team A,Game 1 - Score team B,Game 2 - Score team A,Game 2 - Score team B,Game 3 - Score team A,Game 3 - Score team B,Team A - Player 1,Team A - Player 2,Team B - Player 1,Team B - Player 2
Group Stage,Open Pro,Group A,1,Single game,Zwaffle everyone,Mercadini/Pareschi,Zwaffle everyone,15,6,,,,,Levi Vandaele,Robin Florinda,riccardo mercadini,Mattia Pareschi
Group Stage,Open Pro,Group A,1,Single game,Zwaffle everyone,Mercadini/Pareschi,Zwaffle everyone,15,6,,,,,Levi Vandaele,Robin Florinda,riccardo mercadini,Mattia Pareschi
Group Stage,Open Pro,Group A,1,Single game,Zwaffle everyone,Power Pots,Zwaffle everyone,15,6,,,,,Levi Vandaele,Robin Florinda,Marcos Bermudez Muratel,Gabriel Luna Soriano
Group Stage,Open Pro,Group A,1,Single game,Synchronized,Le Spiko de Familia,Synchronized,15,8,,,,,Gabriel Stoisser,Jé Gagnon,Kasper Søvndal,Andreas Christensen
Group Stage,Open Pro,Group B,1,Single game,Never Cold🌡️,Frenchies,Frenchies,12,15,,,,,Jaroslav Čabala,Jan Stachiewicz,Bram Declercq,Louis JOUVE
Group Stage,Open Pro,Group B,1,Single game,Roundnet Bourguignon,Marco/Halvard,Roundnet Bourguignon,15,12,,,,,Jérôme RENIMEL,Aymeric Sandoz,Marco Navío Ruiz,Halvard Hanisch
Group Stage,Open Pro,Group C,1,Single game,RCG Powerline,French Kiss,RCG Powerline,15,12,,,,,Nelson Dziruni,Benjamin Bachler,Olivier Hui Bon Hoa,Lafond Etienne
Group Stage,Open Pro,Group C,1,Single game,Pierre Feuille Victor,Marcos/Erik,Pierre Feuille Victor,15,13,,,,,Pierre Lecrosnier,Victor Cambois,Erik Borja Forschner Mitre,Marcos Campos
Group Stage,Open Pro,Group D,1,Single game,Two Clowns no circus,Beer me out,Two Clowns no circus,15,10,,,,,Merlin Baumeler,Matias Bermejo Pasetti,Tavo Garcia,Mathias Linnet
Group Stage,Open Pro,Group D,1,Single game,nerds in disguise,TV Time,nerds in disguise,15,11,,,,,Stefan Handschmann,David Jindra,Frederik Theunis,Gauthier Vandamme
Group Stage,Open Pro,Group E,1,Single game,Free lessons,Christiani/Harder,Christiani/Harder,14,16,,,,,Ramon Felix,Auxence Clark,Jonathan Harder,Lucas Christiani
Group Stage,Open Pro,Group E,1,Single game,Bazzani/Borsotti,RBZ Tocco Italiano,RBZ Tocco Italiano,13,15,,,,,Andrea Borsotti,Nicola Bazzani,Giacomo Merlin,Matteo Sacchini
Group Stage,Open Pro,Group F,1,Single game,Hors Service,Spikeghetti,Hors Service,15,13,,,,,Hugo Lacombe,Samy Caux-Ramon,Jakob G. Damgaard,Hjalte Knudsen
Group Stage,Open Pro,Group F,1,Single game,MarMar,Big Boss,MarMar,15,12,,,,,Markus Anderle,Marvin Rösinger,Aleksandrs Juška,Fre Eskens
Group Stage,Open Pro,Group G,1,Single game,[SUI] Rimle/Peter,ShakaTac,ShakaTac,13,15,,,,,Roman Peter,Emanuel Rimle,Théo Vanh Hemelryck,Ryan DANEKAS
Group Stage,Open Pro,Group A,2,Single game,Zwaffle everyone,Le Spiko de Familia,Zwaffle everyone,15,8,,,,,Levi Vandaele,Robin Florinda,Kasper Søvndal,Andreas Christensen
Group Stage,Open Pro,Group A,2,Single game,Mercadini/Pareschi,Power Pots,Mercadini/Pareschi,15,13,,,,,riccardo mercadini,Mattia Pareschi,Marcos Bermudez Muratel,Gabriel Luna Soriano
Group Stage,Open Pro,Group B,2,Single game,Never Cold🌡️,Marco/Halvard,Marco/Halvard,10,15,,,,,Jaroslav Čabala,Jan Stachiewicz,Marco Navío Ruiz,Halvard Hanisch
Group Stage,Open Pro,Group C,2,Single game,RCG Powerline,Marcos/Erik,Marcos/Erik,10,15,,,,,Nelson Dziruni,Benjamin Bachler,Erik Borja Forschner Mitre,Marcos Campos
Group Stage,Open Pro,Group C,2,Single game,Pierre Feuille Victor,French Kiss,Pierre Feuille Victor,15,11,,,,,Pierre Lecrosnier,Victor Cambois,Olivier Hui Bon Hoa,Lafond Etienne
Group Stage,Open Pro,Group D,2,Single game,Two Clowns no circus,TV Time,Two Clowns no circus,15,13,,,,,Merlin Baumeler,Matias Bermejo Pasetti,Frederik Theunis,Gauthier Vandamme
Group Stage,Open Pro,Group D,2,Single game,nerds in disguise,Beer me out,Beer me out,13,15,,,,,Stefan Handschmann,David Jindra,Tavo Garcia,Mathias Linnet
Group Stage,Open Pro,Group E,2,Single game,Free lessons,RBZ Tocco Italiano,Free lessons,15,13,,,,,Ramon Felix,Auxence Clark,Giacomo Merlin,Matteo Sacchini
Group Stage,Open Pro,Group E,2,Single game,Bazzani/Borsotti,Christiani/Harder,Bazzani/Borsotti,16,14,,,,,Andrea Borsotti,Nicola Bazzani,Jonathan Harder,Lucas Christiani
Group Stage,Open Pro,Group F,2,Single game,Hors Service,Big Boss,Hors Service,15,10,,,,,Hugo Lacombe,Samy Caux-Ramon,Aleksandrs Juška,Fre Eskens
Group Stage,Open Pro,Group F,2,Single game,MarMar,Spikeghetti,MarMar,15,11,,,,,Markus Anderle,Marvin Rösinger,Jakob G. Damgaard,Hjalte Knudsen
Group Stage,Open Pro,Group G,2,Single game,[SUI] Rimle/Peter,Pocket Aces,Pocket Aces,20,21,,,,,Roman Peter,Emanuel Rimle,Luc Bürki,Jonas Eigenmann
