Stage,Division,Group/Bracket,Round,Match format,Team A,Team B,Winning team,Game 1 - Score team A,Game 1 - Score team B,Game 2 - Score team A,Game 2 - Score team B,Game 3 - Score team A,Game 3 - Score team B,Team A - Player 1,Team A - Player 2,Team B - Player 1,Team B - Player 2
Group Stage,Open Pro,Group A,1,Single game,Clarké au floor,Martha/Doan,Clarké au floor,15,13,,,,,Robin Florinda,Auxence Clark,Jake Martha,Chau Doan
Group Stage,Open Pro,Group A,1,Single game,Pierre Feuille Victor,Klement / Schartmann,Pierre Feuille Victor,15,11,,,,,Pierre Lecrosnier,Victor Cambois,Max Schartmann,Tim Klement
Group Stage,Open Pro,Group B,1,Single game,FOR SURE,Locksmiths,FOR SURE,15,12,,,,,Levi Vandaele,Nelson Dziruni,Pascal Schlosser,Julian Schmitz
Group Stage,Open Pro,Group B,1,Single game,[SUI] Rimle/Peter,Serial Chillers,[SUI] Rimle/Peter,15,11,,,,,Emanuel Rimle,Roman Peter,Alessandro Zanellato,Jacopo Dudine
Group Stage,Open Pro,Group C,1,Single game,ShakaTac,"SBK Kaunas ""Sensei""",ShakaTac,15,9,,,,,Ryan DANEKAS,Théo Vanh Hemelryck,Ugnius Lekecinskas,Mindaugas Butkus
Group Stage,Open Pro,Group C,1,Single game,Bazzani/Borsotti,RCB Presidenziale,Bazzani/Borsotti,15,10,,,,,Nicola Bazzani,Andrea Borsotti,Mattia Pareschi,Federico Grazi
Group Stage,Open Pro,Group D,1,Single game,RCB Drü,Duracell Defense,RCB Drü,15,8,,,,,Ramon Felix,Merlin Baumeler,Jeppe Norlyk Hansen,Mathias Linnet
Group Stage,Open Pro,Group D,1,Single game,Krehle / Christiani,Rainbow Warriors,Rainbow Warriors,11,15,,,,,Lucas Christiani,Julian Krehle,Josha Lauterbach,Fabian Claus
Group Stage,Open Pro,Group E,1,Single game,Triple X,Smooth Operators,Triple X,15,11,,,,,Laura Kunzelmann,Paul Siemer,David Rowlands,Trevor Cook
Group Stage,Open Pro,Group E,1,Single game,Marcos/Erik,Millton/Bermejo,Marcos/Erik,15,12,,,,,Erik Borja Forschner Mitre,Marcos Campos,Felix Millton,Matias Bermejo Pasetti
Group Stage,Open Pro,Group F,1,Single game,Never Cold🌡️,2 sehr affine Engel,Never Cold🌡️,17,15,,,,,Jan Stachiewicz,Jaroslav Čabala,Serafin Rieser,Carlo Engel
