Stage,Division,Group/Bracket,Round,Match format,Team A,Team B,Winning team,Game 1 - Score team A,Game 1 - Score team B,Game 2 - Score team A,Game 2 - Score team B,Game 3 - Score team A,Game 3 - Score team B,Team A - Player 1,Team A - Player 2,Team B - Player 1,Team B - Player 2
Group Stage,Open Gold/Premier,Group A (15&16),1,Single game,Eisenträger/Siemer,Fred Potter,Eisenträger/Siemer,21,11,,,,,Paul Siemer,Eisenträger Lukas,Marco Navío Ruiz,Erik Borja Forschner Mitre
Group Stage,Open Gold/Premier,Group A (15&16),1,Single game,Pilon/Sandoz,Merlor & Bird,Pilon/Sandoz,21,19,,,,,Aymeric Sandoz,Élie Pilon,luc bürki,Merlin Baumeler
Group Stage,Open Gold/Premier,Group B (17&18),1,Single game,Pour Combien ?,Never too late,Pour Combien ?,21,13,,,,,Dorian Améziane,Robin Florinda,Gabriel Stoisser,Marius Snoeck
Group Stage,Open Gold/Premier,Group B (17&18),1,Single game,Twinzz,[SUI] Rimle/Peter,[SUI] Rimle/Peter,20,22,,,,,Yosha Vandaele,Stefan Handschmann,Emanuel Rimle,Roman Peter
Group Stage,Open Gold/Premier,Group C (19&20),1,Single game,Jan & Nel,Serve & Chill,Jan & Nel,23,21,,,,,Nelson Dziruni,Jan Stachiewicz,Rouven Felix,Nicolas Tognini
Group Stage,Open Gold/Premier,Group C (19&20),1,Single game,Now That We’re Men,Tapken/Von Hänisch,Now That We’re Men,21,13,,,,,Josh Weinbach,Trevor Barbosa,Clemens Von Hanisch,Lukas Tapken
Group Stage,Open Gold/Premier,Group D (21&22),1,Single game,Lacombe/Chapelière,Fré-vor,Lacombe/Chapelière,21,12,,,,,Hugo Lacombe,Erwan Chapeliere,Trevor Cook,Frederik Theunis
Group Stage,Open Gold/Premier,Group D (21&22),1,Single game,Those Roundnet Players,Elbourne/Lim,Those Roundnet Players,21,17,,,,,Scott Beeks,fredric hinkle,Alex Lim,Mark Elbourne
Group Stage,Open Gold/Premier,Group A (15&16),2,Single game,Eisenträger/Siemer,Merlor & Bird,Eisenträger/Siemer,21,12,,,,,Paul Siemer,Eisenträger Lukas,luc bürki,Merlin Baumeler
Group Stage,Open Gold/Premier,Group A (15&16),2,Single game,Future Burnouts,Fred Potter,Future Burnouts,23,21,,,,,Raffael Jonas,Markus Anderle,Marco Navío Ruiz,Erik Borja Forschner Mitre
Group Stage,Open Gold/Premier,Group B (17&18),2,Single game,Pour Combien ?,[SUI] Rimle/Peter,Pour Combien ?,21,19,,,,,Dorian Améziane,Robin Florinda,Emanuel Rimle,Roman Peter
Group Stage,Open Gold/Premier,Group B (17&18),2,Single game,Pierre Feuille Victor,Never too late,Pierre Feuille Victor,21,18,,,,,Pierre Lecrosnier,Victor Cambois,Gabriel Stoisser,Marius Snoeck
