Stage,Division,Group/Bracket,Round,Match format,Team A,Team B,Winning team,Game 1 - Score team A,Game 1 - Score team B,Game 2 - Score team A,Game 2 - Score team B,Game 3 - Score team A,Game 3 - Score team B,Team A - Player 1,Team A - Player 2,Team B - Player 1,Team B - Player 2
Group Stage,Open Pro,Group A,1,Single game,Eisenträger/Siemer,Fred Potter,Eisenträger/Siemer,21,12,,,,,Eisenträger Lukas,Paul Siemer,Erik Borja Forschner Mitre,Marco Navío Ruiz
Group Stage,Open Pro,Group A,1,Single game,[SUI] Rimle/Peter,Kandula/Visek,[SUI] Rimle/Peter,22,20,,,,,Emanuel Rimle,Roman Peter,Jakub Víšek,Ravi Kandula
Group Stage,Open Pro,Group B,1,Single game,Never Cold🌡️,Double Bang,Never Cold🌡️,21,13,,,,,Jan Stachiewicz,Jaroslav Čabala,Nicola Bazzani,Michele Berlanda
Group Stage,Open Pro,Group B,1,Single game,Hokus Boom, Paindrops, Paindrops,18,21,,,,,Cedric Widin,Matias Bermejo Pasetti,Markus Anderle,Yvo Heinen
Group Stage,Open Pro,Group C,1,Single game,Lacombe/Chapelière,nerds in disguise,Lacombe/Chapelière,21,17,,,,,Erwan Chapeliere,Hugo Lacombe,Stefan Handschmann,David Jindra
Group Stage,Open Pro,Group C,1,Single game,Hustling Brothers,RBZ Capri Sons,RBZ Capri Sons,19,21,,,,,Yosha Vandaele,Levi Vandaele,Andrea Borsotti,riccardo mercadini
Group Stage,Open Pro,Group D,1,Single game,RCG Powerline,RCB Spikeleeks,RCG Powerline,21,15,,,,,Nelson Dziruni,Benjamin Bachler,Carlo Engel,Luc Moor
Group Stage,Open Pro,Group D,1,Single game,Pour Combien ?,RCB Drü,Pour Combien ?,21,18,,,,,Dorian Améziane,Robin Florinda,Merlin Baumeler,Ramon Felix
Group Stage,Open Pro,Group A,2,Single game,Eisenträger/Siemer,Kandula/Visek,Eisenträger/Siemer,21,15,,,,,Eisenträger Lukas,Paul Siemer,Jakub Víšek,Ravi Kandula
Group Stage,Open Pro,Group A,2,Single game,[SUI] Rimle/Peter,Fred Potter,[SUI] Rimle/Peter,21,18,,,,,Emanuel Rimle,Roman Peter,Erik Borja Forschner Mitre,Marco Navío Ruiz
Group Stage,Open Pro,Group B,2,Single game,Never Cold🌡️, Paindrops, Paindrops,14,21,,,,,Jan Stachiewicz,Jaroslav Čabala,Markus Anderle,Yvo Heinen
Group Stage,Open Pro,Group B,2,Single game,Hokus Boom,Double Bang,Hokus Boom,21,19,,,,,Cedric Widin,Matias Bermejo Pasetti,Nicola Bazzani,Michele Berlanda
Group Stage,Open Pro,Group C,2,Single game,Lacombe/Chapelière,RBZ Capri Sons,RBZ Capri Sons,21,23,,,,,Erwan Chapeliere,Hugo Lacombe,Andrea Borsotti,riccardo mercadini
Group Stage,Open Pro,Group C,2,Single game,Hustling Brothers,nerds in disguise,Hustling Brothers,21,11,,,,,Yosha Vandaele,Levi Vandaele,Stefan Handschmann,David Jindra
Group Stage,Open Pro,Group D,2,Single game,RCG Powerline,RCB Drü,RCB Drü,24,25,,,,,Nelson Dziruni,Benjamin Bachler,Merlin Baumeler,Ramon Felix
Group Stage,Open Pro,Group D,2,Single game,Pour Combien ?,RCB Spikeleeks,Pour Combien ?,21,19,,,,,Dorian Améziane,Robin Florinda,Carlo Engel,Luc Moor
Group Stage,Open Pro,Group A,3,Single game,Eisenträger/Siemer,[SUI] Rimle/Peter,Eisenträger/Siemer,21,14,,,,,Eisenträger Lukas,Paul Siemer,Emanuel Rimle,Roman Peter
Group Stage,Open Pro,Group A,3,Single game,Kandula/Visek,Fred Potter,Fred Potter,17,21,,,,,Jakub Víšek,Ravi Kandula,Erik Borja Forschner Mitre,Marco Navío Ruiz
Group Stage,Open Pro,Group B,3,Single game,Never Cold🌡️,Hokus Boom,Never Cold🌡️,21,19,,,,,Jan Stachiewicz,Jaroslav Čabala,Cedric Widin,Matias Bermejo Pasetti
Group Stage,Open Pro,Group B,3,Single game, Paindrops,Double Bang, Paindrops,21,16,,,,,Markus Anderle,Yvo Heinen,Nicola Bazzani,Michele Berlanda
Group Stage,Open Pro,Group C,3,Single game,Lacombe/Chapelière,Hustling Brothers,Hustling Brothers,13,21,,,,,Erwan Chapeliere,Hugo Lacombe,Yosha Vandaele,Levi Vandaele
Group Stage,Open Pro,Group C,3,Single game,RBZ Capri Sons,nerds in disguise,RBZ Capri Sons,21,11,,,,,Andrea Borsotti,riccardo mercadini,Stefan Handschmann,David Jindra
Group Stage,Open Pro,Group D,3,Single game,RCG Powerline,Pour Combien ?,Pour Combien ?,19,21,,,,,Nelson Dziruni,Benjamin Bachler,Dorian Améziane,Robin Florinda
Group Stage,Open Pro,Group D,3,Single game,RCB Drü,RCB Spikeleeks,RCB Drü,23,21,,,,,Merlin Baumeler,Ramon Felix,Carlo Engel,Luc Moor
Bracket Stage,Open Pro,Bracket A,Round of 16,Best of 3,Eisenträger/Siemer,nerds in disguise,Eisenträger/Siemer,21,13,21,19,,,Eisenträger Lukas,Paul Siemer,Stefan Handschmann,David Jindra
Bracket Stage,Open Pro,Bracket A,Round of 16,Best of 3, Paindrops,Double Bang, Paindrops,21,13,21,14,,,Markus Anderle,Yvo Heinen,Nicola Bazzani,Michele Berlanda
Bracket Stage,Open Pro,Bracket A,Round of 16,Best of 3,RBZ Capri Sons,Kandula/Visek,Kandula/Visek,24,25,21,18,24,25,Andrea Borsotti,riccardo mercadini,Jakub Víšek,Ravi Kandula
Bracket Stage,Open Pro,Bracket A,Round of 16,Best of 3,Pour Combien ?,RCB Spikeleeks,Pour Combien ?,21,19,18,21,21,17,Dorian Améziane,Robin Florinda,Carlo Engel,Luc Moor
Bracket Stage,Open Pro,Bracket A,Round of 16,Best of 3,Hustling Brothers,Fred Potter,Hustling Brothers,21,18,21,14,,,Yosha Vandaele,Levi Vandaele,Erik Borja Forschner Mitre,Marco Navío Ruiz
Bracket Stage,Open Pro,Bracket A,Round of 16,Best of 3,Never Cold🌡️,Lacombe/Chapelière,Never Cold🌡️,21,16,21,16,,,Jan Stachiewicz,Jaroslav Čabala,Erwan Chapeliere,Hugo Lacombe
