Stage,Division,Group/Bracket,Round,Match format,Team A,Team B,Winning team,Game 1 - Score team A,Game 1 - Score team B,Game 2 - Score team A,Game 2 - Score team B,Game 3 - Score team A,Game 3 - Score team B,Team A - Player 1,Team A - Player 2,Team A - Player 3,Team B - Player 1,Team B - Player 2,Team B - Player 3
Group Stage,Mixed Advanced/Intermediate,Group A - 15 HC 21,1,Single game,Aloha,Mugiwaras,Aloha,15,4,,,,,Cedric Widin,Laura Kunzelmann,,Jonas Tarnutzer,Nicole Rupf Figueroa,
Group Stage,Mixed Advanced/Intermediate,Group A - 15 HC 21,1,Single game,Flying Free,Millenium,Flying Free,17,15,,,,,Marcos Bermudez Muratel,Raquel Martín Tablado,,Milian Brard,Hélène Bertrand,
Group Stage,Mixed Advanced/Intermediate,Group B - 15 HC 21,1,Single game,UniLey,Zippy Roosters,UniLey,15,12,,,,,Megan Leybourne,Nelson Dziruni,,Théo Vanh Hemelryck,Valentine Pottez,
Group Stage,Mixed Advanced/Intermediate,Group B - 15 HC 21,1,Single game,Flip Flop,Long leg Llamas,Flip Flop,15,8,,,,,Louisiane Lemaire,Tom Hullot,,Jeppe Norlyk Hansen,Christina Lund Nielsen,
Group Stage,Mixed Advanced/Intermediate,Group C - 15 HC 21,1,Single game,Na-Da,Nous deux,Na-Da,15,5,,,,,Dorian Améziane,Natacha Alt,,Roundnetzala Roundnetzala,Sébastien Lefèvre,
Group Stage,Mixed Advanced/Intermediate,Group C - 15 HC 21,1,Single game,PIKAMIENTOS,Les blonds à rien,PIKAMIENTOS,15,12,,,,,Vanangamoudiar Liza,Auxence Clark,,Jean Kervella,Lucile Rouault,
Group Stage,Mixed Advanced/Intermediate,Group D - 15 HC 21,1,Single game,Bananas for Johannes,"RR juice gastrico ",Bananas for Johannes,15,12,,,,,Lou Washburn,Paul Siemer,,Nicola Bazzani,Chiara Pernigo,
Group Stage,Mixed Advanced/Intermediate,Group D - 15 HC 21,1,Single game,Ok pour moi,Hommingbirds,Ok pour moi,21,19,,,,,Maya Barkan,Erwan Chapeliere,,Hagen Jona Hintz,Janne Uteg,
Group Stage,Mixed Advanced/Intermediate,Group E - 15 HC 21,1,Single game,Salt and Pepper,One girl two cuts,Salt and Pepper,15,4,,,,,Jan Stachiewicz,Ruth Troughton,,Clément Martin-Gougenheim,Anne GERARD,
Group Stage,Mixed Advanced/Intermediate,Group E - 15 HC 21,1,Single game,RCB Scrambled Tofu,"Halvard/Margaux ","Halvard/Margaux ",10,15,,,,,Carlo Engel,Anna Lea Schindler,,Halvard Hanisch,Margaux Thieren,
Group Stage,Mixed Advanced/Intermediate,Group F - 15 HC 21,1,Single game,Pingu Panther,Superb'owl'er,Pingu Panther,15,8,,,,,Daniela Kadlec,Stefan Handschmann,,Julia Grob,Yannick Maurer,
Group Stage,Mixed Advanced/Intermediate,Group F - 15 HC 21,1,Single game,Green Hot Chilli Peppers,Green sailors,Green sailors,11,15,,,,,Jaroslav Čabala,Julia Stranzl,,Marine Maurel,Olivier Saunier,
Group Stage,Mixed Advanced/Intermediate,Group G - 15 HC 21,1,Single game,Hat swap,Team Angio,Hat swap,15,9,,,,,Robin Florinda,Tina Gulden,,Neri Sansone,daria orlandini,
Group Stage,Mixed Advanced/Intermediate,Group G - 15 HC 21,1,Single game,TrashPandas,Gnocchi mit Pecorino,TrashPandas,15,11,,,,,Freya Levie,Roman Peter,,Nicolas Perriraz,Tosca Pecorino,
Group Stage,Mixed Advanced/Intermediate,Group H - 15 HC 21,1,Single game,SuPeerNora,"Orxata Round System ",SuPeerNora,15,8,,,,,Peer Kanis,Nora Haas,,Helena Molina Raga,Gabriel Luna Soriano,
Group Stage,Mixed Advanced/Intermediate,Group H - 15 HC 21,1,Single game,Red Redonda,Fuze Team,Red Redonda,15,8,,,,,Rafael Gallego,Sara Villamariz do Nascimento,,Micha Daling,Ilonka Thielen,
Group Stage,Mixed Advanced/Intermediate,Group I - 15 HC 21,1,Single game,Aussie Roos,The Double Dutch,Aussie Roos,15,4,,,,,Nicole Fatt,Mark Elbourne,,Jeroen Brus,Teodora Veres,
Group Stage,Mixed Advanced/Intermediate,Group I - 15 HC 21,1,Single game,2stressed2bebest,Flotjes,2stressed2bebest,15,11,,,,,Lauma Ernestsone,Aleksandrs Juška,,Florian Poel,Lotte Verbeke,
Group Stage,Mixed Advanced/Intermediate,Group J - 15 HC 21,1,Single game,Tiermaschine,Christmas in Summer 🏝,Tiermaschine,15,4,,,,,Eisenträger Lukas,Eva Magdalena,,Jemima Lee,Colten Van Etten,
Group Stage,Mixed Advanced/Intermediate,Group J - 15 HC 21,1,Single game,Saus,Eigenmann,Eigenmann,10,15,,,,,Solange Schrijnder van Velzen,Maurice Jantjes,,Kaija Eigenmann,Jonas Eigenmann,
Group Stage,Mixed Advanced/Intermediate,Group K - 15 HC 21,1,Single game,Levi & Riet,Flotters,Levi & Riet,15,9,,,,,Levi Vandaele,Riet D'hoore,,Lina Feldt,Maximilian Knoll,
Group Stage,Mixed Advanced/Intermediate,Group K - 15 HC 21,1,Single game,Chrusumonster,Déjà-vu,Déjà-vu,13,15,,,,,Carole Gassner,Luc Moor,,Jérôme RENIMEL,Adriana Valiente,
Group Stage,Mixed Advanced/Intermediate,Group L - 15 HC 21,1,Single game,Pinkey Jinkey,Happy husband happy life,Pinkey Jinkey,15,4,,,,,Alina Teskey,David Jindra,,Teo Kukuljan,Katja Ema Kelvisar Kukuljan,
Group Stage,Mixed Advanced/Intermediate,Group L - 15 HC 21,1,Single game,"Le Bon, la Britt et le Theunis",Double A'ce,Double A'ce,11,15,,,,,Frederik Theunis,Britt Vankemenade,,Astrid Andreassen,Andreas Linnet,
Group Stage,Mixed Advanced/Intermediate,Group M - 15 HC 21,1,Single game,#THPOE,Nimma Net Ninjas,#THPOE,15,6,,,,,Amely Joly,Benjamin Bachler,,Rudo Brus,Roos Van der Donk,
Group Stage,Mixed Advanced/Intermediate,Group M - 15 HC 21,1,Single game,Creme Caramel,Breizh truffades,Breizh truffades,14,16,,,,,Faisal Sayyed,Bianca Nita,,Romain Chaulet,Elise Martin,
