Stage,Division,Group/Bracket,Round,Match format,Team A,Team B,Winning team,Game 1 - Score team A,Game 1 - Score team B,Game 2 - Score team A,Game 2 - Score team B,Game 3 - Score team A,Game 3 - Score team B,Team A - Player 1,Team A - Player 2,Team B - Player 1,Team B - Player 2
Group Stage,Open Gold/Premier,Group A (set 11+12),1,Single game,RCG Powerline,Sayyed/Gunneson,RCG Powerline,21,13,,,,,Nelson Dziruni,Benjamin Bachler,Faisal Sayyed,Maxwell Gunneson
Group Stage,Open Gold/Premier,Group A (set 11+12),1,Single game,Czech this swede,Pierre Feuille Victor,Czech this swede,21,17,,,,,Esaja Ekman,Ondřej Čejka,Pierre Lecrosnier,Victor Cambois
Group Stage,Open Gold/Premier,Group B (set 13+14),1,Single game,Zwaffle everyone,Double Bang,Zwaffle everyone,21,11,,,,,Robin Florinda,Levi Vandaele,Michele Berlanda,Nicola Bazzani
Group Stage,Open Gold/Premier,Group B (set 13+14),1,Single game,The untouchable,RCB Spikeleeks,RCB Spikeleeks,22,24,,,,,Vanya Melnykovych,Ondra Kasan,Carlo Engel,Luc Moor
Group Stage,Open Gold/Premier,Group C (set 15+16),1,Single game,Kuba/Frederik,[SUI] Rimle/Peter,Kuba/Frederik,21,18,,,,,Jakub Víšek,Frederik Theunis,Roman Peter,Emanuel Rimle
Group Stage,Open Gold/Premier,Group C (set 15+16),1,Single game,RBZ Capri Sons,LTTL RNDNT,LTTL RNDNT,18,21,,,,,Andrea Borsotti,riccardo mercadini,Lukas Tapken,Timo Lorenzen
Group Stage,Open Gold/Premier,Group D (set 17+18),1,Single game,Never Cold🌡️,AS TELGRUC,Never Cold🌡️,22,20,,,,,Jaroslav Čabala,Jan Stachiewicz,Jérôme RENIMEL,Aymeric Sandoz
Group Stage,Open Gold/Premier,Group D (set 17+18),1,Single game,Cedric & Julian,Czecky ,Czecky ,16,21,,,,,Julian Krehle,Cedric Widin,Johannes Kopfmann,Lucca Hardes
Group Stage,Open Gold/Premier,Group E (set 19+20),1,Single game,Rainbow Warriors,RCB Drü,RCB Drü,26,28,,,,,Fabian Claus,Josha Lauterbach,Merlin Baumeler,Ramon Felix
Group Stage,Open Gold/Premier,Group A (set 11+12),2,Single game,RCG Powerline,Pierre Feuille Victor,RCG Powerline,21,13,,,,,Nelson Dziruni,Benjamin Bachler,Pierre Lecrosnier,Victor Cambois
Group Stage,Open Gold/Premier,Group A (set 11+12),2,Single game,Stadtaffen,Sayyed/Gunneson,Stadtaffen,21,18,,,,,Jonas klinger,Peer Kanis,Faisal Sayyed,Maxwell Gunneson
Group Stage,Open Gold/Premier,Group B (set 13+14),2,Single game,Zwaffle everyone,RCB Spikeleeks,Zwaffle everyone,21,18,,,,,Robin Florinda,Levi Vandaele,Carlo Engel,Luc Moor
Group Stage,Open Gold/Premier,Group B (set 13+14),2,Single game, Paindrops,Double Bang, Paindrops,21,16,,,,,Markus Anderle,Yvo Heinen,Michele Berlanda,Nicola Bazzani
Group Stage,Open Gold/Premier,Group C (set 15+16),2,Single game,Kuba/Frederik,LTTL RNDNT,LTTL RNDNT,15,21,,,,,Jakub Víšek,Frederik Theunis,Lukas Tapken,Timo Lorenzen
Group Stage,Open Gold/Premier,Group C (set 15+16),2,Single game,Beeks/Elbourne,[SUI] Rimle/Peter,Beeks/Elbourne,21,18,,,,,Mark Elbourne,Scott Beeks,Roman Peter,Emanuel Rimle
Group Stage,Open Gold/Premier,Group D (set 17+18),2,Single game,Never Cold🌡️,Czecky ,Never Cold🌡️,21,15,,,,,Jaroslav Čabala,Jan Stachiewicz,Johannes Kopfmann,Lucca Hardes
Group Stage,Open Gold/Premier,Group D (set 17+18),2,Single game,gLim of POP,AS TELGRUC,AS TELGRUC,18,21,,,,,Jakub Popluhar,Alex Lim,Jérôme RENIMEL,Aymeric Sandoz
Group Stage,Open Gold/Premier,Group E (set 19+20),2,Single game,nerds in disguise,Tac Tac,nerds in disguise,21,17,,,,,Stefan Handschmann,David Jindra,Ryan DANEKAS,Fre Eskens
Group Stage,Open Gold/Premier,Group A (set 11+12),3,Single game,RCG Powerline,Stadtaffen,Stadtaffen,23,25,,,,,Nelson Dziruni,Benjamin Bachler,Jonas klinger,Peer Kanis
Group Stage,Open Gold/Premier,Group A (set 11+12),3,Single game,Czech this swede,Sayyed/Gunneson,Czech this swede,21,15,,,,,Esaja Ekman,Ondřej Čejka,Faisal Sayyed,Maxwell Gunneson
Group Stage,Open Gold/Premier,Group B (set 13+14),3,Single game,Zwaffle everyone, Paindrops,Zwaffle everyone,22,20,,,,,Robin Florinda,Levi Vandaele,Markus Anderle,Yvo Heinen
Group Stage,Open Gold/Premier,Group B (set 13+14),3,Single game,The untouchable,Double Bang,The untouchable,21,11,,,,,Vanya Melnykovych,Ondra Kasan,Michele Berlanda,Nicola Bazzani
Group Stage,Open Gold/Premier,Group C (set 15+16),3,Single game,Kuba/Frederik,Beeks/Elbourne,Beeks/Elbourne,16,21,,,,,Jakub Víšek,Frederik Theunis,Mark Elbourne,Scott Beeks
Group Stage,Open Gold/Premier,Group C (set 15+16),3,Single game,RBZ Capri Sons,[SUI] Rimle/Peter,[SUI] Rimle/Peter,13,21,,,,,Andrea Borsotti,riccardo mercadini,Roman Peter,Emanuel Rimle
Group Stage,Open Gold/Premier,Group D (set 17+18),3,Single game,Never Cold🌡️,gLim of POP,Never Cold🌡️,22,20,,,,,Jaroslav Čabala,Jan Stachiewicz,Jakub Popluhar,Alex Lim
Group Stage,Open Gold/Premier,Group D (set 17+18),3,Single game,Cedric & Julian,AS TELGRUC,Cedric & Julian,21,16,,,,,Julian Krehle,Cedric Widin,Jérôme RENIMEL,Aymeric Sandoz
Group Stage,Open Gold/Premier,Group E (set 19+20),3,Single game,Rainbow Warriors,Tac Tac,Rainbow Warriors,21,12,,,,,Fabian Claus,Josha Lauterbach,Ryan DANEKAS,Fre Eskens
Group Stage,Open Gold/Premier,Group A (set 11+12),4,Single game,Czech this swede,Stadtaffen,Czech this swede,21,13,,,,,Esaja Ekman,Ondřej Čejka,Jonas klinger,Peer Kanis
Group Stage,Open Gold/Premier,Group A (set 11+12),4,Single game,Pierre Feuille Victor,Sayyed/Gunneson,Pierre Feuille Victor,21,16,,,,,Pierre Lecrosnier,Victor Cambois,Faisal Sayyed,Maxwell Gunneson
Group Stage,Open Gold/Premier,Group B (set 13+14),4,Single game,The untouchable, Paindrops, Paindrops,16,21,,,,,Vanya Melnykovych,Ondra Kasan,Markus Anderle,Yvo Heinen
Group Stage,Open Gold/Premier,Group B (set 13+14),4,Single game,RCB Spikeleeks,Double Bang,RCB Spikeleeks,21,15,,,,,Carlo Engel,Luc Moor,Michele Berlanda,Nicola Bazzani
Group Stage,Open Gold/Premier,Group C (set 15+16),4,Single game,RBZ Capri Sons,Beeks/Elbourne,Beeks/Elbourne,18,21,,,,,Andrea Borsotti,riccardo mercadini,Mark Elbourne,Scott Beeks
Group Stage,Open Gold/Premier,Group C (set 15+16),4,Single game,LTTL RNDNT,[SUI] Rimle/Peter,LTTL RNDNT,22,20,,,,,Lukas Tapken,Timo Lorenzen,Roman Peter,Emanuel Rimle
Group Stage,Open Gold/Premier,Group D (set 17+18),4,Single game,Cedric & Julian,gLim of POP,Cedric & Julian,21,18,,,,,Julian Krehle,Cedric Widin,Jakub Popluhar,Alex Lim
Group Stage,Open Gold/Premier,Group D (set 17+18),4,Single game,Czecky ,AS TELGRUC,AS TELGRUC,18,21,,,,,Johannes Kopfmann,Lucca Hardes,Jérôme RENIMEL,Aymeric Sandoz
Group Stage,Open Gold/Premier,Group E (set 19+20),4,Single game,Rainbow Warriors,nerds in disguise,Rainbow Warriors,21,19,,,,,Fabian Claus,Josha Lauterbach,Stefan Handschmann,David Jindra
Group Stage,Open Gold/Premier,Group E (set 19+20),4,Single game,RCB Drü,Tac Tac,RCB Drü,21,14,,,,,Merlin Baumeler,Ramon Felix,Ryan DANEKAS,Fre Eskens
Group Stage,Open Gold/Premier,Group A (set 11+12),5,Single game,RCG Powerline,Czech this swede,RCG Powerline,21,15,,,,,Nelson Dziruni,Benjamin Bachler,Esaja Ekman,Ondřej Čejka
Group Stage,Open Gold/Premier,Group A (set 11+12),5,Single game,Stadtaffen,Pierre Feuille Victor,Pierre Feuille Victor,21,23,,,,,Jonas klinger,Peer Kanis,Pierre Lecrosnier,Victor Cambois
Group Stage,Open Gold/Premier,Group B (set 13+14),5,Single game,Zwaffle everyone,The untouchable,Zwaffle everyone,21,18,,,,,Robin Florinda,Levi Vandaele,Vanya Melnykovych,Ondra Kasan
Group Stage,Open Gold/Premier,Group B (set 13+14),5,Single game, Paindrops,RCB Spikeleeks, Paindrops,21,18,,,,,Markus Anderle,Yvo Heinen,Carlo Engel,Luc Moor
Group Stage,Open Gold/Premier,Group C (set 15+16),5,Single game,Kuba/Frederik,RBZ Capri Sons,RBZ Capri Sons,14,21,,,,,Jakub Víšek,Frederik Theunis,Andrea Borsotti,riccardo mercadini
Group Stage,Open Gold/Premier,Group C (set 15+16),5,Single game,Beeks/Elbourne,LTTL RNDNT,Beeks/Elbourne,21,15,,,,,Mark Elbourne,Scott Beeks,Lukas Tapken,Timo Lorenzen
Group Stage,Open Gold/Premier,Group D (set 17+18),5,Single game,Never Cold🌡️,Cedric & Julian,Never Cold🌡️,23,21,,,,,Jaroslav Čabala,Jan Stachiewicz,Julian Krehle,Cedric Widin
Group Stage,Open Gold/Premier,Group D (set 17+18),5,Single game,gLim of POP,Czecky ,gLim of POP,21,19,,,,,Jakub Popluhar,Alex Lim,Johannes Kopfmann,Lucca Hardes
