Stage,Division,Group/Bracket,Round,Match format,Team A,Team B,Winning team,Game 1 - Score team A,Game 1 - Score team B,Game 2 - Score team A,Game 2 - Score team B,Game 3 - Score team A,Game 3 - Score team B,Team A - Player 1,Team A - Player 2,Team B - Player 1,Team B - Player 2
Group Stage,Open Gold/Premier,Group A,1,Single game,Eisenträger/Siemer,Setters of Catan,Eisenträger/Siemer,21,13,,,,,Paul Siemer,Eisenträger Lukas,Noah Skogward,Edvin Baggman
Group Stage,Open Gold/Premier,Group A,1,Single game,Babbel Boys,Hors Services,Hors Services,11,21,,,,,Markus Anderle,Fre Eskens,Hugo Lacombe,Samy Caux-Ramon
Group Stage,Open Gold/Premier,Group B,1,Single game,Les Machiines,Cobra Spike,Les Machiines,21,10,,,,,Levi Vandaele,Dorian Améziane,Herman Henström,Samuel Mjönes
Group Stage,Open Gold/Premier,Group B,1,Single game,Roundnet Orléans ,Scott/Wout,Scott/Wout,17,21,,,,,Aymeric Sandoz,Erwan Chapeliere,Scott Beeks,Wout Geeraerts
Group Stage,Open Gold/Premier,Group C,1,Single game,Mathieu/Pilon,Bavaria meets Texas,Mathieu/Pilon,21,14,,,,,Vincent Mathieu,Olivier Laurin,Jakub Popluhar,Jack Granger
Group Stage,Open Gold/Premier,Group C,1,Single game,Hokus Boom,nerds in disguise,nerds in disguise,14,21,,,,,Cedric Widin,Matias Bermejo Pasetti,Stefan Handschmann,David Jindra
Group Stage,Open Gold/Premier,Group D,1,Single game,Machine slayers,Perplexing Zwambo,Perplexing Zwambo,16,21,,,,,Yosha Vandaele,Robin Florinda,Frederik Theunis,Lucca Hardes
Group Stage,Open Gold/Premier,Group D,1,Single game,RCG Powerline,LTTL RNDNT,RCG Powerline,21,19,,,,,Nelson Dziruni,Benjamin Bachler,Lukas Tapken,Timo Lorenzen
Group Stage,Open Gold/Premier,Group E,1,Single game,Never Cold🌡️,TWO SWEDES,TWO SWEDES,16,21,,,,,Jan Stachiewicz,Jaroslav Čabala,Esaja Ekman,Simon Stenquist
Group Stage,Open Gold/Premier,Group E,1,Single game,Pump up the Jam,Pierre Feuille Victor,Pump up the Jam,21,14,,,,,Peer Kanis,Fabian Claus,Pierre Lecrosnier,Victor Cambois
Group Stage,Open Gold/Premier,Group A,2,Single game,Eisenträger/Siemer,Hors Services,Eisenträger/Siemer,21,16,,,,,Paul Siemer,Eisenträger Lukas,Hugo Lacombe,Samy Caux-Ramon
Group Stage,Open Gold/Premier,Group A,2,Single game,Babbel Boys,Setters of Catan,Setters of Catan,16,21,,,,,Markus Anderle,Fre Eskens,Noah Skogward,Edvin Baggman
Group Stage,Open Gold/Premier,Group B,2,Single game,Les Machiines,Scott/Wout,Les Machiines,21,17,,,,,Levi Vandaele,Dorian Améziane,Scott Beeks,Wout Geeraerts
Group Stage,Open Gold/Premier,Group B,2,Single game,Roundnet Orléans ,Cobra Spike,Roundnet Orléans ,21,17,,,,,Aymeric Sandoz,Erwan Chapeliere,Herman Henström,Samuel Mjönes
Group Stage,Open Gold/Premier,Group C,2,Single game,Mathieu/Pilon,nerds in disguise,Mathieu/Pilon,21,16,,,,,Vincent Mathieu,Olivier Laurin,Stefan Handschmann,David Jindra
Group Stage,Open Gold/Premier,Group C,2,Single game,Hokus Boom,Bavaria meets Texas,Hokus Boom,21,17,,,,,Cedric Widin,Matias Bermejo Pasetti,Jakub Popluhar,Jack Granger
Group Stage,Open Gold/Premier,Group D,2,Single game,Machine slayers,LTTL RNDNT,Machine slayers,21,19,,,,,Yosha Vandaele,Robin Florinda,Lukas Tapken,Timo Lorenzen
Group Stage,Open Gold/Premier,Group D,2,Single game,RCG Powerline,Perplexing Zwambo,RCG Powerline,21,13,,,,,Nelson Dziruni,Benjamin Bachler,Frederik Theunis,Lucca Hardes
Group Stage,Open Gold/Premier,Group E,2,Single game,Never Cold🌡️,Pierre Feuille Victor,Pierre Feuille Victor,18,21,,,,,Jan Stachiewicz,Jaroslav Čabala,Pierre Lecrosnier,Victor Cambois
Group Stage,Open Gold/Premier,Group E,2,Single game,Pump up the Jam,TWO SWEDES,Pump up the Jam,21,15,,,,,Peer Kanis,Fabian Claus,Esaja Ekman,Simon Stenquist
Group Stage,Open Gold/Premier,Group A,3,Single game,Eisenträger/Siemer,Babbel Boys,Eisenträger/Siemer,21,8,,,,,Paul Siemer,Eisenträger Lukas,Markus Anderle,Fre Eskens
Group Stage,Open Gold/Premier,Group A,3,Single game,Hors Services,Setters of Catan,Hors Services,21,16,,,,,Hugo Lacombe,Samy Caux-Ramon,Noah Skogward,Edvin Baggman
Group Stage,Open Gold/Premier,Group B,3,Single game,Les Machiines,Roundnet Orléans ,Les Machiines,21,17,,,,,Levi Vandaele,Dorian Améziane,Aymeric Sandoz,Erwan Chapeliere
Group Stage,Open Gold/Premier,Group B,3,Single game,Scott/Wout,Cobra Spike,Scott/Wout,21,16,,,,,Scott Beeks,Wout Geeraerts,Herman Henström,Samuel Mjönes
Group Stage,Open Gold/Premier,Group C,3,Single game,Mathieu/Pilon,Hokus Boom,Mathieu/Pilon,24,22,,,,,Vincent Mathieu,Olivier Laurin,Cedric Widin,Matias Bermejo Pasetti
Group Stage,Open Gold/Premier,Group C,3,Single game,nerds in disguise,Bavaria meets Texas,Bavaria meets Texas,20,22,,,,,Stefan Handschmann,David Jindra,Jakub Popluhar,Jack Granger
Group Stage,Open Gold/Premier,Group D,3,Single game,Machine slayers,RCG Powerline,Machine slayers,21,17,,,,,Yosha Vandaele,Robin Florinda,Nelson Dziruni,Benjamin Bachler
