Stage,Division,Group/Bracket,Round,Match format,Team A,Team B,Winning team,Game 1 - Score team A,Game 1 - Score team B,Game 2 - Score team A,Game 2 - Score team B,Game 3 - Score team A,Game 3 - Score team B,Team A - Player 1,Team A - Player 2,Team A - Player 3,Team B - Player 1,Team B - Player 2,Team B - Player 3
Group Stage,Open Gold,Group A - Set 1+2,1,Single game,RCG Powerline,RDO Flix und Fertig,RCG Powerline,21,14,,,,,Benjamin Bachler,Nelson Dziruni,,Max Schartmann,Lucas Christiani,
Group Stage,Open Gold,Group A - Set 1+2,1,Single game,UnderDAWGS,halo halo palma?,UnderDAWGS,21,17,,,,,Sebi Mezzey,Jakub Víšek,,Mikus Jaunpetrovičs,Aleksandrs Juška,
Group Stage,Open Gold,Group B - Set 3+4,1,Single game,Hustling Brothers,Tac Tac,Hustling Brothers,21,13,,,,,Levi Vandaele,Yosha Vandaele,,Ryan DANEKAS,Oriol Gonzalez,
Group Stage,Open Gold,Group B - Set 3+4,1,Single game,nerds in disguise,Ingo Ingo Ingo Ingolstaaadt,Ingo Ingo Ingo Ingolstaaadt,15,21,,,,,Stefan Handschmann,David Jindra,,Paul Schirop,Martin Amadeus Köppen,
Group Stage,Open Gold,Group C - Set 5+6,1,Single game,Never Cold🌡️,Double Touch,Double Touch,24,25,,,,,Jaroslav Čabala,Jan Stachiewicz,,Tom Eynard,Tom Hullot,
Group Stage,Open Gold,Group C - Set 5+6,1,Single game,Rainbow Warriors,Smile,Rainbow Warriors,25,24,,,,,Josha Lauterbach,Fabian Claus,,Gabriel Stoisser,Felix Millton,
Group Stage,Open Gold,Group D - Set 7+8,1,Single game,Clarké au floor,RBZ Tocco Italiano,Clarké au floor,21,14,,,,,Auxence Clark,Robin Florinda,,Giacomo Merlin,Matteo Sacchini,
Group Stage,Open Gold,Group D - Set 7+8,1,Single game,Hokus Boom,Gauterin/Rösinger,Hokus Boom,21,16,,,,,Matias Bermejo Pasetti,Cedric Widin,,Marvin Rösinger,Marcus Gauterin,
Group Stage,Open Gold,Group E - Set 9+10,1,Single game,JulJan,Gemmathi & Lets Jo,JulJan,21,18,,,,,Jan Umlauft,Julian Krehle,,Mathias Gangkofner,Johannes Mitterwald,
Group Stage,Open Gold,Group E - Set 9+10,1,Single game,Pierre Feuille Victor,Double Bang,Double Bang,20,22,,,,,Aymeric Sandoz,Pierre Lecrosnier,,Michele Berlanda,Nicola Bazzani,
