Stage,Division,Group/Bracket,Round,Match format,Team A,Team B,Winning team,Game 1 - Score team A,Game 1 - Score team B,Game 2 - Score team A,Game 2 - Score team B,Game 3 - Score team A,Game 3 - Score team B,Team A - Player 1,Team A - Player 2,Team B - Player 1,Team B - Player 2
Pool Play,Mixed Advanced 4.0+,Group A - 1 & 3,1,Single game,Katie/Fred,GasLit,Katie/Fred,21,16,,,,,Katie Pierson,Fredric Hinkle,Kayla Ngai,Josh Fragiacomo
Pool Play,Mixed Advanced 4.0+,Group A - 1 & 3,1,Single game,Pingu Panther,nk powaaline,Pingu Panther,21,18,,,,,Daniela Kadlec,Stefan Handschmann,Kristina Dettmann,Nelson Dziruni
Pool Play,Mixed Advanced 4.0+,Group B - 2 & 4,1,Single game,fractal,Raccooligans,fractal,25,24,,,,,Clark Marshall,Laura Kunzelmann,Theresa Knauf,Fabian Claus
Pool Play,Mixed Advanced 4.0+,Group B - 2 & 4,1,Single game,Alexa/Max,Troughton/Mathieu,Alexa/Max,21,19,,,,,Max Model,Alexa Peusch,Ruth Troughton,Vincent Mathieu
Pool Play,Mixed Advanced 4.0+,Group C - 7 & 5,1,Single game,Copenhammon,Na-Da,Na-Da,21,23,,,,,Buddy Hammon,Lou Washburn,Dorian Améziane,Natacha Alt
Pool Play,Mixed Advanced 4.0+,Group C - 7 & 5,1,Single game,Backflick,Abrams / Frietsch Musulin,Backflick,21,15,,,,,Robin Florinda,Inès Paysan,Dan Abrams,Rosa Linde
Pool Play,Mixed Advanced 4.0+,Group D - 6 & 8,1,Single game,its a 10,Ronja/Cole,its a 10,21,16,,,,,Levi Vandaele,Megan Leybourne,Cole Model,Ronja Lorenz
Pool Play,Mixed Advanced 4.0+,Group D - 6 & 8,1,Single game,😄🤡🥸,Spare,😄🤡🥸,21,19,,,,,Paul Siemer,Joelle Nguyen,Nora Haas,Trevor Barbosa
Pool Play,Mixed Advanced 4.0+,Group E - 9 & 11,1,Single game,Green Hot Chilli Peppers,The Mind 🧠,Green Hot Chilli Peppers,21,19,,,,,Jaroslav Čabala,Julia Stranzl,Antonella Valerio,Colten Van Etten
Pool Play,Mixed Advanced 4.0+,Group E - 9 & 11,1,Single game,Les Loulou,Bordeaux on ice,Les Loulou,21,15,,,,,Louise Eydoux,Louis JOUVE,Olivier Hui Bon Hoa,Marie Perez
Pool Play,Mixed Advanced 4.0+,Group F - 10 & 12,1,Single game,The air cuddlebears,The Douds,The air cuddlebears,21,13,,,,,Benjamin Bachler,Tatiana Delbecke,Clarisse Martin,Jérémie TRAORE
Pool Play,Mixed Advanced 4.0+,Group F - 10 & 12,1,Single game,Orxata Round System ,En Roue Libre,Orxata Round System ,21,14,,,,,Helena Molina Raga,Gabriel Luna Soriano,Lucas Cornut,Marine Thomasson
Pool Play,Mixed Advanced 4.0+,Group G - 13 & 14,1,Single game,Roundnet Toulyon,We Came Toulouse,Roundnet Toulyon,21,14,,,,,Hugo Lacombe,Sarah Martinez,Samiah Malta,Dani Gioia
Pool Play,Mixed Advanced 4.0+,Group G - 13 & 14,1,Single game,charLAUMAlex,Les ronds rire,Les ronds rire,20,22,,,,,Charlotte Bruns,Aleksandrs Juška,Lucile Rouault,Romain Chaulet
Pool Play,Mixed Advanced 4.0+,Group H - 15 & 16,1,Single game,Pinkey Jinkey,KIM TOSSIBLE,Pinkey Jinkey,21,9,,,,,David Jindra,Alina Teskey,Tavo Garcia,Kim König
Pool Play,Mixed Advanced 4.0+,Group H - 15 & 16,1,Single game,Franzi/Marcos,Wazungu,Franzi/Marcos,22,20,,,,,Franzi Stadler,Marcos Campos,Hjalte Knudsen,Rasmine Bak
Pool Play,Mixed Advanced 4.0+,Group I - 17 & 18 ,1,Single game,Late Night Paella,NoAd,Late Night Paella,21,3,,,,,Nicole Fatt,Esaja Ekman,LN 31,Mathieu Martinez
Pool Play,Mixed Advanced 4.0+,Group I - 17 & 18 ,1,Single game,Bembelballers,Chat & Chat,Bembelballers,21,9,,,,,Marcus Gauterin,Ricarda Witt,Enora Le Cadre,Aurélien CHAULET
Pool Play,Mixed Advanced 4.0+,Group J - 19 & 20,1,Single game,Coup de Tête,BoogieBall,Coup de Tête,21,8,,,,,Ben Savage,Emma Angeletti,Paolo Petrie,Irina Bob
Pool Play,Mixed Advanced 4.0+,Group J - 19 & 20,1,Single game,Creme Caramel,LEntente,LEntente,16,21,,,,,Faisal Sayyed,Bianca Nita,Elise Martin,Lucas Spitz
