Stage,Division,Group/Bracket,Round,Match format,Team A,Team B,Winning team,Game 1 - Score team A,Game 1 - Score team B,Game 2 - Score team A,Game 2 - Score team B,Game 3 - Score team A,Game 3 - Score team B,Team A - Player 1,Team A - Player 2,Team B - Player 1,Team B - Player 2
Group Stage,Open Advanced,POWER POOL A,1,Single game,Serial Chillers,M&Ms,Serial Chillers,21,14,,,,,Alessandro Zanellato,Jacopo Dudine,Marco Bortoloso,Matteo Molli
Group Stage,Open Advanced,POWER POOL A,1,Single game,Double Bang,Sugação,Double Bang,21,7,,,,,Michele Berlanda,Nicola Bazzani,Gianluca Sartin,Fabio De Valiere
Group Stage,Open Advanced,POWER POOL B,1,Single game,RBZ Capri Sons,Chiara Special,RBZ Capri Sons,21,16,,,,,riccardo mercadini,Andrea Borsotti,Chiara Pernigo,Dario Filippi
Group Stage,Open Advanced,POWER POOL B,1,Single game,RCB Presidenziale,RBZ Tocco Italiano,RBZ Tocco Italiano,19,21,,,,,Mattia Pareschi,Federico Grazi,Giacomo Merlin,Matteo Sacchini
Group Stage,Open Advanced,ENERGY POOL A,1,Single game,Falce e Martello,Non lo so,Falce e Martello,21,14,,,,,Luca Tosatti,Davide Greco,Mirko Biondini,
Group Stage,Open Advanced,ENERGY POOL A,1,Single game,RR Rick & Monkey,RF corto muso,RR Rick & Monkey,21,12,,,,,Anton Schönberger,Mattia Bazzani,Riccardo Di Perna,Federico Donatini
Group Stage,Open Advanced,ENERGY POOL B,1,Single game,Biggio: Big&Joe,STRATOSFICHI ,STRATOSFICHI ,14,21,,,,,Luca Pallotta,Sebastiano Guerra,Alessandro Framarini,Luca Leoni
Group Stage,Open Advanced,ENERGY POOL B,1,Single game,Castelletti,Team Bota,Team Bota,19,21,,,,,Lorenzo Favati,Giacomo Leoni,Mattia Magnani,Mattia Penasa
Group Stage,Open Advanced,POWER POOL A,2,Single game,Serial Chillers,Sugação,Serial Chillers,21,10,,,,,Alessandro Zanellato,Jacopo Dudine,Gianluca Sartin,Fabio De Valiere
Group Stage,Open Advanced,POWER POOL A,2,Single game,Double Bang,M&Ms,Double Bang,23,21,,,,,Michele Berlanda,Nicola Bazzani,Marco Bortoloso,Matteo Molli
Group Stage,Open Advanced,POWER POOL B,2,Single game,RBZ Capri Sons,RBZ Tocco Italiano,RBZ Capri Sons,23,21,,,,,riccardo mercadini,Andrea Borsotti,Giacomo Merlin,Matteo Sacchini
Group Stage,Open Advanced,POWER POOL B,2,Single game,RCB Presidenziale,Chiara Special,RCB Presidenziale,21,17,,,,,Mattia Pareschi,Federico Grazi,Chiara Pernigo,Dario Filippi
Group Stage,Open Advanced,ENERGY POOL A,2,Single game,Falce e Martello,RF corto muso,Falce e Martello,21,19,,,,,Luca Tosatti,Davide Greco,Riccardo Di Perna,Federico Donatini
Group Stage,Open Advanced,ENERGY POOL A,2,Single game,Le paste,Non lo so,Non lo so,17,21,,,,,Giovanni Messina,Alberto Matteucci,Mirko Biondini,
Group Stage,Open Advanced,ENERGY POOL B,2,Single game,Biggio: Big&Joe,Team Bota,Biggio: Big&Joe,21,15,,,,,Luca Pallotta,Sebastiano Guerra,Mattia Magnani,Mattia Penasa
Group Stage,Open Advanced,ENERGY POOL B,2,Single game,Spikoline,STRATOSFICHI ,Spikoline,21,19,,,,,Marco Berlanda,Daniel Di Fazio,Alessandro Framarini,Luca Leoni
Group Stage,Open Advanced,POWER POOL A,3,Single game,Serial Chillers,Double Bang,Double Bang,19,21,,,,,Alessandro Zanellato,Jacopo Dudine,Michele Berlanda,Nicola Bazzani
Group Stage,Open Advanced,POWER POOL A,3,Single game,Sugação,M&Ms,M&Ms,14,21,,,,,Gianluca Sartin,Fabio De Valiere,Marco Bortoloso,Matteo Molli
Group Stage,Open Advanced,POWER POOL B,3,Single game,RBZ Capri Sons,RCB Presidenziale,RBZ Capri Sons,21,18,,,,,riccardo mercadini,Andrea Borsotti,Mattia Pareschi,Federico Grazi
Group Stage,Open Advanced,POWER POOL B,3,Single game,RBZ Tocco Italiano,Chiara Special,RBZ Tocco Italiano,21,16,,,,,Giacomo Merlin,Matteo Sacchini,Chiara Pernigo,Dario Filippi
Group Stage,Open Advanced,ENERGY POOL A,3,Single game,Falce e Martello,Le paste,Falce e Martello,21,14,,,,,Luca Tosatti,Davide Greco,Giovanni Messina,Alberto Matteucci
Group Stage,Open Advanced,ENERGY POOL A,3,Single game,RR Rick & Monkey,Non lo so,RR Rick & Monkey,21,10,,,,,Anton Schönberger,Mattia Bazzani,Mirko Biondini,
Group Stage,Open Advanced,ENERGY POOL B,3,Single game,Biggio: Big&Joe,Spikoline,Spikoline,22,24,,,,,Luca Pallotta,Sebastiano Guerra,Marco Berlanda,Daniel Di Fazio
Group Stage,Open Advanced,ENERGY POOL B,3,Single game,Castelletti,STRATOSFICHI ,STRATOSFICHI ,11,21,,,,,Lorenzo Favati,Giacomo Leoni,Alessandro Framarini,Luca Leoni
Group Stage,Open Advanced,ENERGY POOL A,4,Single game,RR Rick & Monkey,Le paste,RR Rick & Monkey,21,13,,,,,Anton Schönberger,Mattia Bazzani,Giovanni Messina,Alberto Matteucci
Group Stage,Open Advanced,ENERGY POOL A,4,Single game,RF corto muso,Non lo so,Non lo so,18,21,,,,,Riccardo Di Perna,Federico Donatini,Mirko Biondini,
Group Stage,Open Advanced,ENERGY POOL B,4,Single game,Castelletti,Spikoline,Spikoline,19,21,,,,,Lorenzo Favati,Giacomo Leoni,Marco Berlanda,Daniel Di Fazio
Group Stage,Open Advanced,ENERGY POOL B,4,Single game,Team Bota,STRATOSFICHI ,STRATOSFICHI ,12,21,,,,,Mattia Magnani,Mattia Penasa,Alessandro Framarini,Luca Leoni
Group Stage,Open Advanced,ENERGY POOL A,5,Single game,Falce e Martello,RR Rick & Monkey,Falce e Martello,24,22,,,,,Luca Tosatti,Davide Greco,Anton Schönberger,Mattia Bazzani
Group Stage,Open Advanced,ENERGY POOL A,5,Single game,Le paste,RF corto muso,Le paste,21,17,,,,,Giovanni Messina,Alberto Matteucci,Riccardo Di Perna,Federico Donatini
Group Stage,Open Advanced,ENERGY POOL B,5,Single game,Biggio: Big&Joe,Castelletti,Biggio: Big&Joe,21,19,,,,,Luca Pallotta,Sebastiano Guerra,Lorenzo Favati,Giacomo Leoni
Group Stage,Open Advanced,ENERGY POOL B,5,Single game,Spikoline,Team Bota,Spikoline,20,14,,,,,Marco Berlanda,Daniel Di Fazio,Mattia Magnani,Mattia Penasa
Bracket Stage,Open Advanced,Bracket A,Round of 16,Best of 3,Double Bang,Non lo so,Double Bang,15,6,15,7,,,Michele Berlanda,Nicola Bazzani,Mirko Biondini,
Bracket Stage,Open Advanced,Bracket A,Round of 16,Best of 3,RBZ Capri Sons,Team Bota,RBZ Capri Sons,15,7,15,12,,,riccardo mercadini,Andrea Borsotti,Mattia Magnani,Mattia Penasa
Bracket Stage,Open Advanced,Bracket A,Round of 16,Best of 3,Serial Chillers,Le paste,Serial Chillers,15,5,15,9,,,Alessandro Zanellato,Jacopo Dudine,Giovanni Messina,Alberto Matteucci
Bracket Stage,Open Advanced,Bracket A,Round of 16,Best of 3,RBZ Tocco Italiano,Biggio: Big&Joe,RBZ Tocco Italiano,15,9,15,8,,,Giacomo Merlin,Matteo Sacchini,Luca Pallotta,Sebastiano Guerra
Bracket Stage,Open Advanced,Bracket A,Round of 16,Best of 3,RCB Presidenziale,STRATOSFICHI ,RCB Presidenziale,15,12,15,11,,,Mattia Pareschi,Federico Grazi,Alessandro Framarini,Luca Leoni
Bracket Stage,Open Advanced,Bracket A,Round of 16,Best of 3,M&Ms,RR Rick & Monkey,M&Ms,15,12,15,12,,,Marco Bortoloso,Matteo Molli,Anton Schönberger,Mattia Bazzani
Bracket Stage,Open Advanced,Bracket A,Round of 16,Best of 3,Chiara Special,Spikoline,Spikoline,12,15,16,14,17,19,Chiara Pernigo,Dario Filippi,Marco Berlanda,Daniel Di Fazio
Bracket Stage,Open Advanced,Bracket A,Round of 16,Best of 3,Sugação,Falce e Martello,Falce e Martello,10,15,15,10,19,21,Gianluca Sartin,Fabio De Valiere,Luca Tosatti,Davide Greco
Bracket Stage,Open Advanced,Bracket A,Quarter-final,Best of 3,Double Bang,Falce e Martello,Double Bang,21,14,21,15,,,Michele Berlanda,Nicola Bazzani,Luca Tosatti,Davide Greco
Bracket Stage,Open Advanced,Bracket A,Quarter-final,Best of 3,RBZ Capri Sons,Spikoline,RBZ Capri Sons,21,13,21,12,,,riccardo mercadini,Andrea Borsotti,Marco Berlanda,Daniel Di Fazio
Bracket Stage,Open Advanced,Bracket A,Quarter-final,Best of 3,Serial Chillers,M&Ms,Serial Chillers,21,16,21,15,,,Alessandro Zanellato,Jacopo Dudine,Marco Bortoloso,Matteo Molli
Bracket Stage,Open Advanced,Bracket A,Quarter-final,Best of 3,RBZ Tocco Italiano,RCB Presidenziale,RCB Presidenziale,21,15,22,24,19,21,Giacomo Merlin,Matteo Sacchini,Mattia Pareschi,Federico Grazi
Bracket Stage,Open Advanced,Bracket A,P9: Quarter-final,Best of 3,Sugação,Non lo so,Sugação,15,6,15,8,,,Gianluca Sartin,Fabio De Valiere,Mirko Biondini,
Bracket Stage,Open Advanced,Bracket A,P9: Quarter-final,Best of 3,Chiara Special,Team Bota,Chiara Special,15,8,15,9,,,Chiara Pernigo,Dario Filippi,Mattia Magnani,Mattia Penasa
Bracket Stage,Open Advanced,Bracket A,P9: Quarter-final,Best of 3,RR Rick & Monkey,Le paste,RR Rick & Monkey,15,10,19,17,,,Anton Schönberger,Mattia Bazzani,Giovanni Messina,Alberto Matteucci
Bracket Stage,Open Advanced,Bracket A,P9: Quarter-final,Best of 3,STRATOSFICHI ,Biggio: Big&Joe,STRATOSFICHI ,21,15,21,12,,,Alessandro Framarini,Luca Leoni,Luca Pallotta,Sebastiano Guerra
Bracket Stage,Open Advanced,Bracket A,Semi-final,Best of 3,Double Bang,RCB Presidenziale,Double Bang,21,15,21,16,,,Michele Berlanda,Nicola Bazzani,Mattia Pareschi,Federico Grazi
Bracket Stage,Open Advanced,Bracket A,Semi-final,Best of 3,RBZ Capri Sons,Serial Chillers,Serial Chillers,21,23,21,23,,,riccardo mercadini,Andrea Borsotti,Alessandro Zanellato,Jacopo Dudine
Bracket Stage,Open Advanced,Bracket A,P5: Semi-final,Best of 3,RBZ Tocco Italiano,Falce e Martello,RBZ Tocco Italiano,21,17,21,19,,,Giacomo Merlin,Matteo Sacchini,Luca Tosatti,Davide Greco
Bracket Stage,Open Advanced,Bracket A,P9: Semi-final,Best of 3,Sugação,STRATOSFICHI ,Sugação,21,15,21,16,,,Gianluca Sartin,Fabio De Valiere,Alessandro Framarini,Luca Leoni
Bracket Stage,Open Advanced,Bracket A,P9: Semi-final,Best of 3,Chiara Special,RR Rick & Monkey,Chiara Special,15,10,15,6,,,Chiara Pernigo,Dario Filippi,Anton Schönberger,Mattia Bazzani
Bracket Stage,Open Advanced,Bracket A,P13: Semi-final,Best of 3,Biggio: Big&Joe,Non lo so,Biggio: Big&Joe,1,0,0,1,1,0,Luca Pallotta,Sebastiano Guerra,Mirko Biondini,
