Stage,Division,Group/Bracket,Round,Match format,Team A,Team B,Winning team,Game 1 - Score team A,Game 1 - Score team B,Game 2 - Score team A,Game 2 - Score team B,Game 3 - Score team A,Game 3 - Score team B,Team A - Player 1,Team A - Player 2,Team B - Player 1,Team B - Player 2
Group Stage,Open,Group A,1,Single game,RCB Borsello,Pefforza,RCB Borsello,21,15,,,,,Luca Tosatti,Andrea Borsotti,Luca Leoni,Giovanni Messina
Group Stage,Open,Group A,1,Single game,RCBorsotti tifiamo per te,RCB Adeschiamo donne dal 1847,RCBorsotti tifiamo per te,21,16,,,,,Tobia Sermenghi,Mattia Pareschi,Tommaso Marzocchi,Federico Grazi
Group Stage,Open,Group B,1,Single game,È official,CR7 & ME$$I,È official,21,10,,,,,Alessandro Zanellato,Dario Filippi,omar zeni,fulvs
Group Stage,Open,Group B,1,Single game,Ciò che desidera tua mamma,RCB tedesco,Ciò che desidera tua mamma,21,12,,,,,Andrea Piccirillo,Matteo Sacchini,Pierre Bechtloff,Giovanni Calvi
Group Stage,Open,Group C,1,Single game,Nunu e Willump,DEVÀSTUC,Nunu e Willump,21,11,,,,,Marco Bortoloso,riccardo mercadini,Sebastiano Guerra,Andrea De valiere
Group Stage,Open,Group C,1,Single game,RCB i Bazzani,RCB Macaroni Drop,RCB i Bazzani,21,12,,,,,Chiara Pernigo,Jacopo Dudine,Davide Greco,Jannik Tiemann
Group Stage,Open,Group D,1,Single game,TBD,Chicago fools,TBD,21,3,,,,,Nicola Bazzani,Matteo Molli,Alan Saggiorato,Alberto Amato
Group Stage,Open,Group D,1,Single game,Jean Jacques Rousseau,Mattia Marco,Jean Jacques Rousseau,21,15,,,,,Giacomo Merlin,Gianluca Sartin,Marco Gatta,Mattia Bazzani
Group Stage,Open,Group A,2,Single game,RCB Borsello,RCB Adeschiamo donne dal 1847,RCB Borsello,21,12,,,,,Luca Tosatti,Andrea Borsotti,Tommaso Marzocchi,Federico Grazi
Group Stage,Open,Group A,2,Single game,RCBorsotti tifiamo per te,Pefforza,RCBorsotti tifiamo per te,21,17,,,,,Tobia Sermenghi,Mattia Pareschi,Luca Leoni,Giovanni Messina
Group Stage,Open,Group B,2,Single game,È official,RCB tedesco,È official,21,10,,,,,Alessandro Zanellato,Dario Filippi,Pierre Bechtloff,Giovanni Calvi
Group Stage,Open,Group B,2,Single game,Ciò che desidera tua mamma,CR7 & ME$$I,Ciò che desidera tua mamma,21,14,,,,,Andrea Piccirillo,Matteo Sacchini,omar zeni,fulvs
Group Stage,Open,Group C,2,Single game,Nunu e Willump,RCB Macaroni Drop,Nunu e Willump,21,17,,,,,Marco Bortoloso,riccardo mercadini,Davide Greco,Jannik Tiemann
Group Stage,Open,Group C,2,Single game,RCB i Bazzani,DEVÀSTUC,RCB i Bazzani,21,7,,,,,Chiara Pernigo,Jacopo Dudine,Sebastiano Guerra,Andrea De valiere
Group Stage,Open,Group D,2,Single game,TBD,Mattia Marco,TBD,21,13,,,,,Nicola Bazzani,Matteo Molli,Marco Gatta,Mattia Bazzani
